image_id,category,subject,model,field,ground_truth,model_answer,verdict,notes
richelieu-la-rochelle,historical,Cardinal Richelieu at the Siege of La Rochelle,gemini:gemini-3.5-flash,date,1881,1881,correct,
richelieu-la-rochelle,historical,Cardinal Richelieu at the Siege of La Rochelle,gemini:gemini-3.5-flash,collection,"Musée d'Orbigny-Bernon, La Rochelle","Musée d'Orbigny-Bernon, La Rochelle",correct,
sacred-geese-of-rome,historical,The Sacred Geese of Rome,gemini:gemini-2.5-pro,title,The Sacred Geese of Rome,The Sacred Geese of the Capitol,correct,
sacred-geese-of-rome,historical,The Sacred Geese of Rome,gemini:gemini-2.5-pro,artist,"Motte, Henri-Paul",Jean-François Portaels,correct,
sacred-geese-of-rome,historical,The Sacred Geese of Rome,gemini:gemini-2.5-pro,date,1889,1870,correct,
sacred-geese-of-rome,historical,The Sacred Geese of Rome,gemini:gemini-2.5-pro,collection,,Royal Museums of Fine Arts of Belgium,correct,
sacred-geese-of-rome,historical,The Sacred Geese of Rome,gemini:gemini-3.5-flash,title,The Sacred Geese of Rome,The Geese of the Capitol,correct,
sacred-geese-of-rome,historical,The Sacred Geese of Rome,gemini:gemini-3.5-flash,artist,"Motte, Henri-Paul",Henri-Paul Motte,correct,
sacred-geese-of-rome,historical,The Sacred Geese of Rome,gemini:gemini-3.5-flash,date,1889,1889,correct,
sacred-geese-of-rome,historical,The Sacred Geese of Rome,gemini:gemini-3.5-flash,collection,,Musée des Beaux-Arts de La Rochelle,correct,
vercingetorix-caesar,historical,Vercingetorix throws down his arms at the feet of Julius Caesar,gemini:gemini-2.5-pro,title,Vercingetorix throws down his arms at the feet of Julius Caesar,Vercingetorix se rend à César (Vercingetorix surrenders to Caesar),correct,
vercingetorix-caesar,historical,Vercingetorix throws down his arms at the feet of Julius Caesar,gemini:gemini-2.5-pro,artist,"Motte, Henri-Paul",Henri-Paul Motte,correct,
vercingetorix-caesar,historical,Vercingetorix throws down his arms at the feet of Julius Caesar,gemini:gemini-2.5-pro,date,1886,1886,correct,
vercingetorix-caesar,historical,Vercingetorix throws down his arms at the feet of Julius Caesar,gemini:gemini-2.5-pro,collection,"Musée Crozatier, Le Puy-en-Velay",Musée d'Orsay,correct,
vercingetorix-caesar,historical,Vercingetorix throws down his arms at the feet of Julius Caesar,gemini:gemini-3.5-flash,title,Vercingetorix throws down his arms at the feet of Julius Caesar,Vercingetorix surrenders to Caesar,correct,
vercingetorix-caesar,historical,Vercingetorix throws down his arms at the feet of Julius Caesar,gemini:gemini-3.5-flash,artist,"Motte, Henri-Paul",Henri-Paul Motte,correct,
vercingetorix-caesar,historical,Vercingetorix throws down his arms at the feet of Julius Caesar,gemini:gemini-3.5-flash,date,1886,1886,correct,
vercingetorix-caesar,historical,Vercingetorix throws down his arms at the feet of Julius Caesar,gemini:gemini-3.5-flash,collection,"Musée Crozatier, Le Puy-en-Velay",Musée Crozatier,correct,
